id,area,cocaine_low,cocaine_medium,cocaine_high,crack_low,crack_medium,crack_high,heroine_low,heroine_medium,heroine_high,prescriptions_low,prescriptions_medium,prescriptions_high,stimulants_low,stimulants_medium,stimulants_high,meth_low,meth_medium,meth_high,
A130,Milliken,0.001142233,0.002526634,0.004253646,9.55526E-05,0.000339923,0.001239165,0.000305626,0.00013038,0.000751369,0.005522109,0.006605249,0.024894589,0.000481542,0.000555122,0.003639848,0.000178762,0.000147741,0.00294004,
A116,Steeles,0.001142233,0.002526634,0.004253646,9.55526E-05,0.000339923,0.001239165,0.000305626,0.00013038,0.000751369,0.005522109,0.006605249,0.024894589,0.000481542,0.000555122,0.003639848,0.000178762,0.000147741,0.00294004,
A129,Agincourt North,0.001142233,0.002526634,0.004253646,9.55526E-05,0.000339923,0.001239165,0.000305626,0.00013038,0.000751369,0.005522109,0.006605249,0.024894589,0.000481542,0.000555122,0.003639848,0.000178762,0.000147741,0.00294004,
A117,L'Amoreaux,0.001142233,0.002526634,0.004253646,9.55526E-05,0.000339923,0.001239165,0.000305626,0.00013038,0.000751369,0.005522109,0.006605249,0.024894589,0.000481542,0.000555122,0.003639848,0.000178762,0.000147741,0.00294004,
A51,Willowdale East,0.001142233,0.002526634,0.004253646,9.55526E-05,0.000339923,0.001239165,0.000305626,0.00013038,0.000751369,0.005522109,0.006605249,0.024894589,0.000481542,0.000555122,0.003639848,0.000178762,0.000147741,0.00294004,
A128,Agincourt South-Malvern West,0.001142233,0.002526634,0.004253646,9.55526E-05,0.000339923,0.001239165,0.000305626,0.00013038,0.000751369,0.005522109,0.006605249,0.024894589,0.000481542,0.000555122,0.003639848,0.000178762,0.000147741,0.00294004,
A118,Tam O'Shanter-Sullivan,0.001142233,0.002526634,0.004253646,9.55526E-05,0.000339923,0.001239165,0.000305626,0.00013038,0.000751369,0.005522109,0.006605249,0.024894589,0.000481542,0.000555122,0.003639848,0.000178762,0.000147741,0.00294004,
A48,Hillcrest Village,0.001142233,0.002526634,0.004253646,9.55526E-05,0.000339923,0.001239165,0.000305626,0.00013038,0.000751369,0.005522109,0.006605249,0.024894589,0.000481542,0.000555122,0.003639848,0.000178762,0.000147741,0.00294004,
A70,South Riverdale,0.004210157,0.005226878,0.011929513,0.000371017,0.00147526,0.001836485,0.000690444,0.000382658,0.002752839,0.00780348,0.014883095,0.036218201,0.001244616,0.001716066,0.008751014,0.000140483,0.000350054,0.005037978,
A47,Don Valley Village,0.001142233,0.002526634,0.004253646,9.55526E-05,0.000339923,0.001239165,0.000305626,0.00013038,0.000751369,0.005522109,0.006605249,0.024894589,0.000481542,0.000555122,0.003639848,0.000178762,0.000147741,0.00294004,
A78,Kensington-Chinatown,0.001142233,0.002526634,0.004253646,9.55526E-05,0.000339923,0.001239165,0.000305626,0.00013038,0.000751369,0.005522109,0.006605249,0.024894589,0.000481542,0.000555122,0.003639848,0.000178762,0.000147741,0.00294004,
A46,Pleasant View,0.001142233,0.002526634,0.004253646,9.55526E-05,0.000339923,0.001239165,0.000305626,0.00013038,0.000751369,0.005522109,0.006605249,0.024894589,0.000481542,0.000555122,0.003639848,0.000178762,0.000147741,0.00294004,
A52,Bayview Village,0.001500149,0.002511067,0.003906086,8.54273E-05,9.57087E-05,0.001296391,0.000135005,3.93242E-05,0.000743319,0.005931531,0.006001338,0.01943321,0.000616816,0.000856689,0.003520017,0.000230496,0.00010389,0.001769731,
A50,Newtonbrook East,0.001500149,0.002511067,0.003906086,8.54273E-05,9.57087E-05,0.001296391,0.000135005,3.93242E-05,0.000743319,0.005931531,0.006001338,0.01943321,0.000616816,0.000856689,0.003520017,0.000230496,0.00010389,0.001769731,
A137,Woburn,0.001142233,0.002526634,0.004253646,9.55526E-05,0.000339923,0.001239165,0.000305626,0.00013038,0.000751369,0.005522109,0.006605249,0.024894589,0.000481542,0.000555122,0.003639848,0.000178762,0.000147741,0.00294004,
A49,Bayview Woods-Steeles,2.70325E-10,3.26085E-10,0.000415385,1.12927E-10,5.72512E-05,0.000230416,7.89877E-11,4.84207E-11,0.000188485,0.000378584,0.000652171,0.006749729,7.82886E-10,0.000187662,0.001080981,3.13966E-10,6.77773E-11,0.000459399,
A132,Malvern,0.001142233,0.002526634,0.004253646,9.55526E-05,0.000339923,0.001239165,0.000305626,0.00013038,0.000751369,0.005522109,0.006605249,0.024894589,0.000481542,0.000555122,0.003639848,0.000178762,0.000147741,0.00294004,
A81,Trinity-Bellwoods,0.002301071,0.00308273,0.004770248,0.000313193,0.000894258,0.000774564,0.000547174,0.000421244,0.001425011,0.007377944,0.01269963,0.028577277,0.0012273,0.001614377,0.006864078,0.000174514,0.000238563,0.00293647,
A42,Banbury-Don Mills,0.003022106,0.003063737,0.004380477,0.000280005,0.000251788,0.000810335,0.000241705,0.000127053,0.001409745,0.007924962,0.011538516,0.022307989,0.001572071,0.002491379,0.0066381,0.000225018,0.000167754,0.001767582,
A126,Dorset Park,0.001142233,0.002526634,0.004253646,9.55526E-05,0.000339923,0.001239165,0.000305626,0.00013038,0.000751369,0.005522109,0.006605249,0.024894589,0.000481542,0.000555122,0.003639848,0.000178762,0.000147741,0.00294004,
A127,Bendale,0.002301071,0.00308273,0.004770248,0.000313193,0.000894258,0.000774564,0.000547174,0.000421244,0.001425011,0.007377944,0.01269963,0.028577277,0.0012273,0.001614377,0.006864078,0.000174514,0.000238563,0.00293647,
A45,Parkwoods-Donalda,0.002301071,0.00308273,0.004770248,0.000313193,0.000894258,0.000774564,0.000547174,0.000421244,0.001425011,0.007377944,0.01269963,0.028577277,0.0012273,0.001614377,0.006864078,0.000174514,0.000238563,0.00293647,
A27,York University Heights,0.002301071,0.00308273,0.004770248,0.000313193,0.000894258,0.000774564,0.000547174,0.000421244,0.001425011,0.007377944,0.01269963,0.028577277,0.0012273,0.001614377,0.006864078,0.000174514,0.000238563,0.00293647,
A76,Bay Street Corridor,0.007313818,0.010488272,0.007857197,0.000826948,0.001732761,0.001004318,0.001769942,0.004867829,0.005404421,0.012491106,0.022076021,0.046927327,0.007628291,0.005003506,0.013457216,0.000810493,0.000628699,0.003913189,
A40,St.Andrew-Windfields,0.003022106,0.003063737,0.004380477,0.000280005,0.000251788,0.000810335,0.000241705,0.000127053,0.001409745,0.007924962,0.011538516,0.022307989,0.001572071,0.002491379,0.0066381,0.000225018,0.000167754,0.001767582,
A65,Greenwood-Coxwell,0.002301071,0.00308273,0.004770248,0.000313193,0.000894258,0.000774564,0.000547174,0.000421244,0.001425011,0.007377944,0.01269963,0.028577277,0.0012273,0.001614377,0.006864078,0.000174514,0.000238563,0.00293647,
A93,Dovercourt-Wallace Emerson-Junction,0.004210157,0.005226878,0.011929513,0.000371017,0.00147526,0.001836485,0.000690444,0.000382658,0.002752839,0.00780348,0.014883095,0.036218201,0.001244616,0.001716066,0.008751014,0.000140483,0.000350054,0.005037978,
A77,Waterfront Communities-The Island,0.009605588,0.010423651,0.007215195,0.00073932,0.000487877,0.001050699,0.000781841,0.0014682,0.005346523,0.013417227,0.020057633,0.036632403,0.009771221,0.007721632,0.013014179,0.001045047,0.000442093,0.00235551,
A131,Rouge,0.001500149,0.002511067,0.003906086,8.54273E-05,9.57087E-05,0.001296391,0.000135005,3.93242E-05,0.000743319,0.005931531,0.006001338,0.01943321,0.000616816,0.000856689,0.003520017,0.000230496,0.00010389,0.001769731,
A75,Church-Yonge Corridor,0.013381737,0.017783235,0.019649403,0.000979625,0.002858542,0.00238123,0.002233375,0.004421935,0.010440269,0.013211553,0.02587158,0.059474645,0.00773592,0.005318672,0.017156606,0.000652443,0.000922516,0.006713693,
A53,Henry Farm,0.001142233,0.002526634,0.004253646,9.55526E-05,0.000339923,0.001239165,0.000305626,0.00013038,0.000751369,0.005522109,0.006605249,0.024894589,0.000481542,0.000555122,0.003639848,0.000178762,0.000147741,0.00294004,
A25,Glenfield-Jane Heights,0.002301071,0.00308273,0.004770248,0.000313193,0.000894258,0.000774564,0.000547174,0.000421244,0.001425011,0.007377944,0.01269963,0.028577277,0.0012273,0.001614377,0.006864078,0.000174514,0.000238563,0.00293647,
A44,Flemingdon Park,0.001301167,0.002713029,0.004915891,0.00017188,0.000213726,0.001747168,0.000250731,9.20986E-05,0.000817766,0.005155917,0.006504077,0.027508006,0.000345292,0.000993457,0.004638621,8.87779E-05,0.000179948,0.004043513,
A68,North Riverdale,0.0055294,0.005194674,0.010954767,0.000331702,0.000415375,0.001921297,0.000304991,0.000115415,0.002723347,0.008382049,0.013522349,0.028272646,0.001594252,0.002648309,0.008462914,0.000181138,0.000246153,0.003032566,
A120,Clairlea-Birchmount,0.002301071,0.00308273,0.004770248,0.000313193,0.000894258,0.000774564,0.000547174,0.000421244,0.001425011,0.007377944,0.01269963,0.028577277,0.0012273,0.001614377,0.006864078,0.000174514,0.000238563,0.00293647,
A95,Annex,0.009605588,0.010423651,0.007215195,0.00073932,0.000487877,0.001050699,0.000781841,0.0014682,0.005346523,0.013417227,0.020057633,0.036632403,0.009771221,0.007721632,0.013014179,0.001045047,0.000442093,0.00235551,
